title,video_id,url,published_at
"Michael Jackson - Smooth Criminal (Official Video)",h_D3VFfhvs4,https://www.youtube.com/watch?v=h_D3VFfhvs4,2010-11-19T11:39:43Z
"Michael Jackson - This Is It (Official Video)",W_SLU3m6uCA,https://www.youtube.com/watch?v=W_SLU3m6uCA,2009-11-26T02:50:22Z
"Michael Jackson - Dirty Diana (Official Video)",yUi_S6YWjZw,https://www.youtube.com/watch?v=yUi_S6YWjZw,2009-11-15T16:02:59Z
"Michael Jackson - Don't Stop 'Til You Get Enough (Official Video - Upscaled)",yURRmWtbTbo,https://www.youtube.com/watch?v=yURRmWtbTbo,2009-10-03T21:00:43Z
"Michael Jackson - Thriller (Official Video - Shortened Version)",4V90AmXnguw,https://www.youtube.com/watch?v=4V90AmXnguw,2009-10-03T20:59:14Z
"Michael Jackson - Ghosts (Official Video - Shortened Version)",Xh9Cp4rd7mI,https://www.youtube.com/watch?v=Xh9Cp4rd7mI,2009-10-03T20:58:07Z
"Michael Jackson - Liberian Girl (Official Video)",f3V-7DEAgdc,https://www.youtube.com/watch?v=f3V-7DEAgdc,2009-10-03T20:57:33Z
"Michael Jackson - Cry (Official Video)",mj3MfUR35CM,https://www.youtube.com/watch?v=mj3MfUR35CM,2009-10-03T20:57:13Z
"Michael Jackson - You Are Not Alone (Official Video)",pAyKJAtDNCw,https://www.youtube.com/watch?v=pAyKJAtDNCw,2009-10-03T20:55:24Z
"Michael Jackson - Bad (Shortened Version)",dsUXAEzaC3Q,https://www.youtube.com/watch?v=dsUXAEzaC3Q,2009-10-03T20:55:06Z
"Michael Jackson - You Rock My World (Official Video)",1-7ABIM2qjU,https://www.youtube.com/watch?v=1-7ABIM2qjU,2009-10-03T07:52:30Z
"Michael Jackson - Blood On The Dance Floor (Official Video)",c3_NntYhzV4,https://www.youtube.com/watch?v=c3_NntYhzV4,2009-10-03T07:23:58Z
"Michael Jackson - Thriller (Official 4K Video)",sOnqjkJTMaA,https://www.youtube.com/watch?v=sOnqjkJTMaA,2009-10-03T06:51:49Z
"Michael Jackson - Black Or White (Official Video - Shortened Version)",F2AitTPI5U0,https://www.youtube.com/watch?v=F2AitTPI5U0,2009-10-03T06:10:38Z
"Michael Jackson - You Rock My World (Official Video - Shortened Version)",g4tpuu-Up90,https://www.youtube.com/watch?v=g4tpuu-Up90,2009-10-03T06:08:14Z
"Michael Jackson - Jam (Official Video - Upscaled)",JbHI1yI1Ndk,https://www.youtube.com/watch?v=JbHI1yI1Ndk,2009-10-03T05:05:55Z
"Michael Jackson - Remember the Time (Official Video - Upscaled)",LeiFF0gvqcc,https://www.youtube.com/watch?v=LeiFF0gvqcc,2009-10-03T04:54:19Z
"Michael Jackson - Heal The World (Official Video)",BWf-eARnf6U,https://www.youtube.com/watch?v=BWf-eARnf6U,2009-10-03T04:53:04Z
"Michael Jackson - Another Part of Me (Official Video)",8vwHQNQ88cM,https://www.youtube.com/watch?v=8vwHQNQ88cM,2009-10-03T04:50:51Z
"Michael Jackson - Man In The Mirror (Official Video)",PivWY9wn5ps,https://www.youtube.com/watch?v=PivWY9wn5ps,2009-10-03T04:50:20Z
"Michael Jackson - Stranger In Moscow (Official Video)",pEEMi2j6lYE,https://www.youtube.com/watch?v=pEEMi2j6lYE,2009-10-03T04:50:18Z
"Michael Jackson - They Don't Care About Us",QNJL6nfu__Q,https://www.youtube.com/watch?v=QNJL6nfu__Q,2009-10-03T04:50:06Z
